code	label_sv	comment_sv	label_en	label_de	urn_fi	label_fi	label_is	label_fr	hidden_label	term	rda_app_i_1_en	rda_app_i_2_en	rda_app_i_3_en	domain
pte	Plaintiff-appellee	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff-appellee											
ptf	Plaintiff	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff								plaintiff			
pth	Patentinnehavare		Patent holder											
ptt	Plaintiff-appellant	Juridisk term ung. motsvarande kärande, målsägande	Plaintiff-appellant											
pup	Utgivnings-/publikationsort		Publication place											Instance
rbr	Rubricator	"Utförare av rubriker (ofta skrivna i rött) i medeltida handskrift; Rubricatorn kunde ibland även vara handskriftens huvudsaklige skrivare"	Rubricator											
rcd	Inspelning		Recordist								recordist			
rce	Inspelningstekniker		Recording engineer								recording engineer			
rcp	Mottagare av korrespondens		Addressee								addressee			
rdd	Radioregissör		Radio director											
red	Redigerare		Redaktor											
ren	Prototyp, visualisering		Renderer											
res	Forskare		Researcher											
rev	Recensent		Reviewer											
rpc	Radioproducent		Radio producer											
rps	Arkiv, repository		Repository											Endeavour
rpt	Reporter, journalist		Reporter											
rpy	Ansvarig utgivare		Responsible party											
rse	Respondent-appellee	Juridisk term ung. motsvarande svarande, tilltalad	Respondent-appellee											
rsg	Bearbetare av sceniskt verk		Restager											
rsp	Respondent	"Kandidat som försvarar eller opponerar vid disputation av akademisk avhandling; jfr ""dis"" (presentatör av avhandling). Även juridisk term för svarande part i domstolsförhandling"	Respondent								respondent			
rsr	Restaturering	"Jfr ""con"" (konservator)"	Restorationist								restorationist			Embodiment
rst	Respondent-appellant	Juridisk term ung. motsvarande svarande, tilltalad	Respondent-appellant											
rth	Chef för forskargrupp		Research team head											
rtm	Medlem av forskargrupp		Research team member											
sad	Vetenskaplig rådgivare		Scientific advisor											
sce	Scenario	Vanligen den person som skrev stumfilmsscenarier	Scenarist											
scl	Skulptör		Sculptor								sculptor			
scr	Skrivare, kopist		Scribe											Instance
sds	Ljudproducent, ljudtekniker		Sound designer											
sec	Sekreterare		Secretary											Instance
sgd	Scenregissör		Stage director								stage director			
sgn	Signatur	"Okänd proveniens; Jfr ""ato"" (autograf/signatur)"	Signer											Embodiment
sht	Organiserat med stöd av		Supporting host											
sll	Försäljare		Seller											Embodiment
sng	Sångare		Singer								singer			
spk	Röst, tal	Person som deltar med muntliga framföranden eller presentationer i t.ex. en ljudupptagning. Hit även röst i animerade filmer, dataspel, etc. 	Speaker								speaker			
spn	Sponsor		Sponsor								sponsor			
spy	Andra part	"Andra parten i ett fördrag, en överenskommelse eller annan händelse; vid överlåtelse betraktas den part till vilken rättigheterna, licensen, etc. har överlåtits som andra part"	Second party											
srv	Lantmätare		Surveyor								surveyor			
std	Scenograf		Set designer											
stg	Scensättning		Setting											
stl	Dramatisering		Storyteller								storyteller			
stm	Inspicient, regiassistent		Stage manager											
stn	Standardiseringsorgan		Standards body											
str	Sterotyper, klichéer		Stereotyper											Instance
tcd	Teknisk chef		Technical director											
tch	Lärare		Teacher								teacher			
ths	Avhandlingshandledare	"Jfr ""pra"" (preses)"	Thesis advisor								degree supervisor			
tld	TV-regissör		Television director											
tlp	TV-producent		Television producer											
trc	Avskrivare		Transcriber								transcriber			
trl	Översättare	Hit även person/organisation som moderniserat äldre text	Translator	Übersetzer|Übersetzerin	http://urn.fi/URN:NBN:fi:au:mts:m23	Kääntäjä	Þýðandi		tõlkija|übers|traductor|traduction|translated by|tłumacz|tłumaczenie|tł|overs		translator			
tyd	Typsnitt		Type designer											Instance
tyg	Typograf	"Typsättning; kan kombineras med ""bkd"" (bokformgivare) om typografen även svarat för andra aspekter av boken formgivning"	Typographer											Instance
uvp	Universitetsort		University place											
vdg	Videoproducent		Videographer											
voc	Vokalist	"Obsolet; använd ""sng"" (sångare)"	Vocalist											
wac	Analys, kommentar		Writer of added commentary								writer of added commentary	writer of supplementary textual content		
wal	Kompletterande text	Musik	Writer of added lyrics								writer of added lyrics	writer of supplementary textual content		
wam	Medföljande material	Audiovisuella medier	Writer of accompanying material											
wat	Kompletterande text	Icke-språkliga resurser	Writer of added text	Verfasserin von ergänzendem Text|Verfasser von ergänzendem Text|Verfasserin von Zusatztexten|Verfasser von Zusatztexten							writer of added text	writer of supplementary textual content		
wdc	Träsnidare	Träsnitt = grafisk högtrycksmetod där de upphöjda partierna på den plana delen av stocken bär själva bildytan	Woodcutter											
wde	Xylograf	Xylografi/trägravyr = grafisk reproduktionsmetod med utskurna träplattor som tryckform	Wood-engraver											
wit	Vittne		Witness											
9pu	Primärt upphovsansvarig	LIBRIS-definierad kod	Primary Rights Holder											
